word phonetic definition
adventure [әd'ventʃә] "n. a wild and exciting undertaking (not necessarily lawful)"
adventurer [әd'ventʃәrә] "n. a person who enjoys taking risks"
adventurous [әd'ventʃәrәs] "a. willing to undertake or seeking out new and daring enterprises"
adversarial [,ædvә'seәriәl] 
adversary ['ædvәsәri] "n. someone who offers opposition"
adverse ['ædvә:s] "s. contrary to your interests or welfare\ns. in an opposing direction"
adversity [әd'vә:sәti] "n. a state of misfortune or affliction\nn. a stroke of ill fortune; a calamitous event"
advertise ['ædvәtaiz] "v. call attention to\nv. make publicity for; try to sell (a product)"
advertisement [.ædvә'taizmәnt] "n a public promotion of some product or service"
advertiser ['ædvәtaizә] "n. someone whose business is advertising"
advertising ['ædvәtaiziŋ] "n. the business of drawing public attention to goods and services"
advice [әd'vais] "n. a proposal for an appropriate course of action"
advisable [әd'vaizәbl] "a. worthy of being recommended or suggested; prudent or wise"
advise [әd'vaiz] "v. inform (somebody) of something"
adviser [әd'vaizә] "n. an expert who gives advice"
advisor [әd'vaizә] "n an expert who gives advice"
advisory [әd'vaizәri] "n. an announcement that usually advises or warns the public of some threat\ns. giving advice"
advocacy ['ædvәkәsi] "n. active support of an idea or cause etc.; especially the act of pleading or arguing for something"
advocate ['ædvәkeit] "n. a person who pleads for a cause or propounds an idea\nn. a lawyer who pleads cases in court"
aegis ['i:dʒis] "n kindly endorsement and guidance\nn armor plate that protects the chest; the front part of a cuirass"
aerial ['єәriәl] "a. existing or living or growing or operating in the air"
aerobic [єә'rәubik] "a. depending on free oxygen or air\na. based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency"
aerobics [.eiә'rәubiks] "n. exercise that increases the need for oxygen"
aerodynamic [,eәrәudai'næmik] "a. of or relating to aerodynamics"
aerosol ['єәrәusɒl] "n. a cloud of solid or liquid particles in a gas\nn. a dispenser that holds a substance under pressure and that can release it as a fine spray (usually by means of a propellant gas)"
aerospace ['єәrәuspeis] "n. the atmosphere and outer space considered as a whole"
aesthetic [i:s'θetik] "n. (philosophy) a philosophical theory as to what is beautiful\na. relating to or dealing with the subject of aesthetics\na. concerning or characterized by an appreciation of beauty or good taste\ns. aesthetically pleasing"
aesthetically [i:s'θetikәli] "r. in a tasteful way"
aesthetics [i:s'θetiks] "n. (art) the branch of philosophy dealing with beauty and taste (emphasizing the evaluative criteria that are applied to art)"
afar [ә'fɑ:] "r. (old-fashioned) at or from or to a great distance; far"
affable ['æfәbl] "s. diffusing warmth and friendliness"
affair [ә'fєә] "n. a usually secretive or illicit sexual relationship\nn. a vaguely specified social event"
affect [ә'fekt] "n. the conscious subjective aspect of feeling or emotion\nv. have an effect upon\nv. act physically on; have an effect upon\nv. have an emotional or cognitive impact upon"
affected [ә'fektid] "a. acted upon; influenced\na. speaking or behaving in an artificial way to make an impression"
affection [ә'fekʃәn] "n. a positive feeling of liking"
affectionate [ә'fekʃәnәt] "s. having or displaying warmth or affection"
affectionately [ә'fekʃәnitli] "r with affection"
affective [ә'fektiv] "s characterized by emotion"
affidavit [.æfi'deivit] "n. written declaration made under oath; a written statement sworn to be true before someone legally authorized to administer an oath"
affiliate [ә'filieit] "n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization\nn. a subsidiary or subordinate organization that is affiliated with another organization\nv. join in an affiliation"
affiliated [ә'filieitid] "s. being joined in close association"
affiliation [ә.fili'eiʃәn] "n. a social or business relationship\nn. the act of becoming formally connected or joined"
affinity [ә'finiti] "n. (immunology) the attraction between an antigen and an antibody\nn. (anthropology) kinship by marriage or adoption; not a blood relationship\nn. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts\nn. a close connection marked by community of interests or similarity in nature or character"
affirm [ә'fә:m] "v. to declare or affirm solemnly and formally as true\nv. say yes to"
affirmation [.æfә'meiʃәn] "n. the act of affirming or asserting or stating something\nn. (religion) a solemn declaration that serves the same purpose as an oath (if an oath is objectionable to the person on religious or ethical grounds)\nn. a judgment by a higher court that the judgment of a lower court was correct and should stand"
affirmative [ә'fә:mәtiv] "n. a reply of affirmation\na. affirming or giving assent\ns. expecting the best"
affix [ә'fiks] "n. a linguistic element added to a word to produce an inflected or derived form\nv. attach to\nv. attach or become attached to a stem word"
afflict [ә'flikt] "v. cause great unhappiness for; distress\nv. cause physical pain or suffering in"
affliction [ә'flikʃәn] "n. a state of great suffering and distress due to adversity\nn. a condition of suffering or distress due to ill health\nn. a cause of great suffering and distress"
affluence ['æfluәns] "n. abundant wealth"
affluent ['æfluәnt] "n. an affluent person; a person who is financially well off\ns. having an abundant supply of money or possessions of value"
afford [ә'fɒ:d] "v. be able to spare or give up\nv. have the financial means to do something or buy something\nv. afford access to"
affordability [əˌfɔdɚ'bɪlətɪ] 
affront [ә'frʌnt] "n a deliberately offensive act or something producing the effect of deliberate disrespect\nv treat, mention, or speak to rudely"
aficionado [ә.fisjә'nɑ:dәu] "n. a fan of bull fighting\nn. a serious devotee of some particular music genre or musical performer"
afield [ә'fi:ld] "r. far away from home or one's usual surroundings\nr. in or into a field (especially a field of battle)\nr. off the subject; beyond the point at issue"
afloat [ә'flәut] "a. borne on the water; floating\ns. covered with water"
afoot [ә'fut] "s. traveling by foot\ns. currently in progress\nr. on foot; walking"
aforementioned [ә'fɒ:.menʃәnd] "s being the one previously mentioned or spoken of"
afraid [ә'freid] "a. filled with fear or apprehension\ns. filled with regret or concern; used often to soften an unpleasant statement\ns. feeling worry or concern or insecurity\ns. having feelings of aversion or unwillingness"
African ['æfrikәn] "n. a native or inhabitant of Africa\na. of or relating to the nations of Africa or their peoples"
Afro-American ['æfrәuә'merikәn] "n an American whose ancestors were born in Africa\ns pertaining to or characteristic of Americans of African ancestry"
aft [ɑ:ft] "a. (nautical, aeronautical) situated at or toward the stern or tail\nr. at or near or toward the stern of a ship or tail of an airplane"
after ['ɑ:ftә] "s. located farther aft\nr. behind or in the rear"
after-school ['ɑ:ftərsk'u:l] "s outside regular school hours"
afterlife ['ɑ:ftәlaif] "n. life after death"
aftermath ['ɑ:ftәmæθ] "n. the consequences of an event (especially a catastrophic event)"
afternoon ['ɑ:ftә'nu:n] "n. the part of the day between noon and evening"
aftershock ['ɑ:ftәʃɒk] "n. a tremor (or one of a series of tremors) occurring after the main shock of an earthquake"
afterthought ['ɑ:ftәθɒ:t] "n. an addition that was not included in the original plan"
afterward ['ɑ:ftәwәd] "r happening at a time subsequent to a reference time"
afterwards ['ɑ:ftәwәdz] "r happening at a time subsequent to a reference time"
again [ә'gein] "r. anew"
against [ә'geinst] "prep. Abreast; opposite to; facing; towards; as, against the\n   mouth of a river; -- in this sense often preceded by over.\nprep. From an opposite direction so as to strike or come in\n   contact with; in contact with; upon; as, hail beats against the roof.\nprep. In opposition to, whether the opposition is of\n   sentiment or of action; on the other side; counter to; in contrariety\n   to; hence, adverse to; as, against reason; against law; to run a race\n   against time.\nprep. By of before the time that; in preparation for; so as\n   to be ready for the time when."
